No,Titulo,Autor,Editorial,Idioma,ISBN13
262,Luna de primavera,"Lord, Bette Bao",Círculo de Lectores,es,9788422615187
263,El embajador,"West, Morris",Pomaire,es,
264,Los ojos de Heisenberg,"Herbert, Frank","B, ediciones",es,9788440635082
265,Recuerdos del futuro,"Däniken, Erich von",Plaza & Janés,es,9788401440847
266,Spotlight on William Shakespeare,"Barnaby, David",Cassell,en,9780304305971
267,Die Frau die sich wandelt Erzählungen,"Buck, Pearl S.",Goldmann,de,9783442064519
268,El desertor,"Collingwood, Charles",Bruguera,es,
269,Parejas,"Updike, John",Planeta,es,9788408462248
270,La vida por delante,"Cyrus, Miley","B, ediciones",es,9788466642576
271,A virtuous woman,"Gibbons, Kate",Vintage Contemporaries,en,9780375703065
272,Monsignore,"Léger, Jack-Alain",Argos Vergara,es,9788470172892
273,Sensacionales cócteles y bebidas para fiestas,"Wilson, Anne",Könemann,es,9783895088018
274,Erosgrafías (prosas poéticas),"Crespo, Patricia",Bohodón,es,9788417198282
275,Detrás de las nubes,"Ionescu, Angela C.",Doncel,es,9788432503337
276,Fuenteovejuna,"Vega, Lope de",Planeta,es,
277,Cárcel de amor,"San Pedro, Diego de",Orbis,es,9788475301938
278,El comedido hidalgo,"Eslava Galán, Juan",Planeta,es,9788408460619
279,El sol y la nieve,"Royo, Rodrigo",Henry Regnery,es,
280,Los perros,"Calder, Robert",Círculo de Lectores,es,9788422609582
281,Detrás de la piedra,"Kurtz, Carmen",Círculo de Lectores,es,
282,Rimas y Leyendas,"Bécquer, Gustavo Adolfo",Planeta,es,9788485753994
283,El palacio,"Erdman, Paul",Plaza & Janés,es,9788401322891
284,Les mordus du tennis,Piem,le Cherche Midi,fr,9782862740553
285,Manual de Primers Auxilis,Varios,Pearson Educación,ca,9788420542836
286,Cómo salir del infierno,"Urdaci, Alfredo",Plaza & Janés,es,9788401379499
287,El jardín perfumado,"Nefzaqui, Jeque",FELMAR,es,9788437900308
288,Assuán,"Heim, Michael",DOPESA,es,9788472351677
289,Don Camilo y los jóvenes de hoy,"Guareschi, Giovanni",Plaza & Janés,es,
290,Cheyenes 6112,"Grenier, C.; Camus, W.","SM, ediciones",es,9788434808256
291,Bienaventurados los miserables,"Castillo, Antonio","Paulinas, ediciones",es,
292,Tras la niebla y la nieve,"Innes, Michael",Barral,es,9788421173770
293,Sinuhé el egipcio,"Waltari, Mika",Círculo de Lectores,es,
294,Desnuda por el mundo,"Chamales, Tom T.",Plaza & Janés,es,
295,Donde se reúnen los muchachos,"Swarthout, Glendon",Círculo de Lectores,es,
296,Barbaridades en clase,"Tirado Zarco, Miguel",Perea ediciones,es,9788477290292
297,Sociología,"Giner, Salvador",Península,es,9788429709247
298,Amor en New York,"Arias, Yolanda",Heres,es,9788485388325
299,La trampa del amor,"Thornton, Elizabeth",Cisne,es,9788483462935
300,Un amor imposible,"Cartland, Barbara",Atlantic Distributing,es,9788449943218
301,Los asesinos,"Kazan, Elia",Círculo de Lectores,es,
302,Pregúntale a Alicia,"Sparks, Beatrice",Círculo de Lectores,es,9788422604778
303,Stupid White Men,"Moore, Michael",Harper,en,9780060530907
304,Mari Catúfols,"Trólec, Isa",Eliseu Climent,ca,9788485211746
305,El mundo de Ben Lighthart,"Haar, Jaap Ter","SM, ediciones",es,9788434811645
306,Este y oeste,"Buck, Pearl S.",Caralt,es,9788421731390
307,La celestina,"Rojas, Fernando de",El País,es,9788496390966
308,La chica del columpio,"Adams, Richard",Plaza & Janés,es,9788401371196
309,La arboleda perdida,"Alberti, Rafael",Bruguera,es,9788402071316
310,Cinco décadas de literatura internacional,"Alcoba, Daniel",Planeta,es,9788408462316
311,Boundaries,"Atkinson, Alix",Worldwide,en,9780373579273
312,El árbol de la ciencia de Baroja,"Beser, Sergio",Laia,es,9788472221505
313,Poesies escollides,"Carner, Josep",Edicions 62,ca,9788429714739
314,El sí de las niñas. La comedia nueva,"Fernández de Moratín, Leandro","Rueda J.M.S.A., ediciones",es,9788487507595
315,Drogas mentales. El desafío de la química a la psicoterapia,"Fernández de Velasco, Miguel Martín",Noguer,es,9788427931466
316,Blanca Olmedo,"Gamero de Medina, Lucila",,es,
317,Siete años de cárcel,"Gerard, Nicole",Grijalbo,es,9788425303685
318,El cónsul honorario,"Greene, Graham",MDS BOOKS/MEDIASAT,es,9788496142534
319,The firm,"Grisham, John",Corgi Transworld,en,9780440211457
320,Fue dicho: no desearás a la mujer de tu prójimo,"Hunter, Evan ",Círculo de Lectores,es,
321,El conde Lucanor,"Juan Manuel, Don",Edicomunicación,es,9788476726266
322,Yo soy fulana de tal,"Laiglesia, Álvaro de",Planeta,es,9788432063800
323,Doce lunas de miel,"Linares, Luisa María",Juventud,es,
324,Elogi de la paraula i altres assaigs,"Maragall, Joan",Edicions 62,ca,
325,La misa azul,"Marquina, Eduardo",Emiliano Escolar,es,9788473930826
326,Las cuatro plumas,"Mason, A. E. W.",Círculo de Lectores,es,
327,La casa de las dunas,"Meersch, M. van der","G. P., ediciones",es,
328,La mascarada,"Moravia, Alberto",Plaza & Janés,es,9788401440540
329,Carne apaleada,"Palou, Inés",Planeta,es,9788432053306
330,"Para sufrir menos, para sufrir mejor","Pederzini, Novello","Combonianas, ediciones",es,
331,Los tontos mueren,"Puzo, Mario",Grijalbo,es,9788425310799
332,Historia de la vida del Buscón llamado don Pablos,"Quevedo, Francisco de ","Rueda J.M.S.A., ediciones",es,9788487507700
333,Vidente en rebeldía,"Roig, Antonio",Planeta,es,9788432041440
334,Estudio sobre las libertades. 2ª edición,"Sánchez Ferriz, Remedio",Tirant lo blanch,es,9788480022989
335,Marcelino pan y vino y otras narraciones,"Sanchez-Silva, Jose Mª",Salvat,es,
