No,Titulo,Autor
391,Experiencias,"Varios: Andrea Camilleri, Raymond Carver, Almudena Grandes, Grahan Greene y Primo Levi"
392,Archipiélago francés,Varios
393,Biblioteca de Selecciones,"Varios (J. H. Williams, William Faulkner, Henry Morton Robinson, David W, Peck, Eric Williams)"
394,La navaja,"Vázquez Azpiri, Héctor"
395,Grandeza y servidumbre de 20 premios planeta,"Arce, Carlos de"
396,Madre de alquiler,"Ashley, Shelley V."
397,Ésta es mi cosecha,"Atkins, Lee"
398,El reposo de Baco,"Boileau, Pierre"
399,Paloverde,"Briskin, Jacqueline"
400,El Ingenioso Hidalgo Don Quijote de la Mancha,"Cervantes Saavedra, Miguel de"
401,Desnuda por el mundo,"Chamales, Tom T."
402,La escapada,"Cordelier, Jeanne"
403,The Witches,"Dahl, Roald"
404,Regina,"Danella, Utta"
405,Retrato de la lozana andaluza,"Delicado, Francisco"
406,Todos somos culpables,"Eaubonne, Françoise d'"
407,Genestel,"Estrade, Sebastian"
408,Olivia Joules and the oveactive imagination,"Fielding, Helen"
409,Tom Jones,"Fielding, Henry"
410,The Great Gatsby,"Fitzgerald, F. Scott"
411,El emperador,"Forsyth, Frederick"
412,Un millón de muertos,"Gironella, Jose Mª"
413,La Ondina y otros cuentos,"Grimm, Jacob y Wilhelm"
414,Gestapo,"Hassel, Sven"
415,Tan bueno como el oro,"Heller, Joseph"
416,Ruy Blas,"Hugo, Victor"
417,Tarántula. La bella y la bestia.,"Jonquet, Thierry"
418,Duermen bajo las aguas,"Kurtz, Carmen"
419,Camila,"L'Engle, Madeleine"
420,El rizo,"Littell, Robert"
421,La tempestad,"Prada, Juan Manuel de"
422,La gangrena,"Salisachs, Mercedes"
423,Shibumi,Trevanian
424,El moralista,"Trigo, Felipe"
425,Selecciones de la narrativa mundial del Reader's Digest oct-nov,Varios
426,El abogado del diablo,"West, Morris"
427,Las hogueras,"Alós, Concha"
428,"El gran atraco a ""Brink's""","Behn, Noel"
429,Tiburón,"Benchley, Peter"
430,La adoración,"Borel, Jacques"
431,El arte de contar cuentos,"Byant, Sara C."
432,El alcalde de Zalamea,"Calderón de la Barca, Pedro"
433,La familia de Pascual Duarte,"Cela, Camilo José"
434,El sueño eterno,"Chandler, Raymond"
435,Banco,"Charrière, Henri"
436,El amante,"Duras, Marguerite"
437,The complete book of rules,"Fein, Ellen y Schneider, Sherrie"
438,Los cipreses creen en Dios,"Gironella, Jose Mª"
439,Lluvia de oro,"Grey, Zane"
440,Raíces,"Haley, Alex"
441,El clan,"Heras, Raul"
442,Madre dulce,"Jolley, Elizabeth"
443,Zanzibar,"Kaye, M. M."
444,El rizo,"Littell, Robert"
445,La agenda de Ícaro,"Ludlum, Robert"
446,El enigma de parsifal,"Ludlum, Robert"
447,GIAP o la guerra de un pueblo,"Quang, Gerard Le"
448,Historia de la vida del Buscón,"Quevedo, Francisco de"
449,Los aventureros,"Robbins, Harold"
450,Por ti lo haría mil veces,"Sartorius, Isabel"
451,Críticas gastronómicas,Savarin
452,Los gozos y las sombras. III. La Pascua triste,"Torrente Ballester, Gonzalo"
453,Las Leyes de Nuestros Padres I y II,"Turow, Scott"
454,John Fitzgerald Kennedy,"Gasós Laviña, Dolors"
455,Aristóteles Onassis,Varios
456,Relatos de duendes,Varios
457,Las sandalias del pescador,"West, Morris"
458,El alcalde de Zalamea,"Calderón de la Barca, Pedro"
459,Coyote,"Barnes, Linda"
460,Charlie Chaplin,"Bazin, André; Rohmer, Eric"
461,En busca del arca perdida de Noé,"Berlitz, Charles"
462,"¡Dios, la que se ármo!","Candel, Francisco"
463,El espía que surgió del frío,"Carre, John le"
464,La chica del tambor,"Carre, John le"
465,El licenciado vidriera y otras novelas ejemplares,"Cervantes Saavedra, Miguel de"
466,Querida María Antonieta,"Chalon, Jean"
467,El comité para la prevención de la tortura,"Cruz Ros, Javier"
468,Robinson Crusoe II,"Defoe, Daniel"
469,El desfile de la victoria,"Díaz-Plaja, Fernando"
470,El paràsit,"Doyle, Arthur Conan"
471,Tu también naciste desnudito,"Laiglesia, Álvaro de"
472,Santiago Ramón y Cajal,"Leirós, Waldo"
473,El ultimatum de Bourne,"Ludlum, Robert"
474,El ultimatum de Bourne,"Ludlum, Robert"
475,Kaputt,"Malaparte, Curzio"
476,Celeste,"Marshall, Rosamond"
477,La rosa de arena,"Montherlant, Henry de"
478,Amapola entre espigas,"Noel, Eugenio"
479,El retorno de los brujos,"Pauwels, Louis; Bergier, Jacques"
480,El retorno de los brujos,"Pauwels, Louis; Bergier, Jacques"
481,Juan Carlos,"Preston, Paul"
482,Residuals o independents?,"Pujol, Jordi"
483,Aventura en los Andes,"Radau, Hanns"
484,Todos los parques no son un paraíso,"Roig, Antonio"
485,Un mundo a cuestas,"Rubio, Rodrigo"
486,Las torres de silencio. Reparto de despojos,"Scott, Paul"
487,El segrest de Xico Black,"Seguí, josep lluís"
488,En un jardin oscuro,"Slaughter, Frank G."
489,Der Zimmer-springbrunnen,"Sparschuh, Jens"
490,Una vez no basta,"Susann, Jacqueline"
491,Los gozos y las sombras. I. El señor llega,"Torrente Ballester, Gonzalo"
492,Apache,"Wellman, Paul L."
493,Opus Dei,"Berglar, Peter"
494,Veinticuatro horas,"Bromfield, Louis"
495,Los Secretos Mejor Guardados,"Brown, Sandra"
496,Mi tío,"Carriere, Jean Claude"
497,El otro árbol de Guernica,"Castresana, Luis de"
498,Papillon,"Charrière, Henri"
499,El Ingenioso Hidalgo Don Quijote de la Mancha II,"Cervantes Saavedra, Miguel de"
500,El Ingenioso Hidalgo Don Quijote de la Mancha,"Cervantes Saavedra, Miguel de"
501,Soy la madre,"Conde, Carmen"
502,El príncipe de las mareas,"Conroy, Pat"
503,Los turistocratas,"Daninos, Pierre"
504,Memorias de guerra. La unidad (1942-1944),"Gaulle, Charles De"
505,KG 200,"Gilman, J. D.; Clive, John"
506,The Palace Diaries,"Goodall, Sarah; Monson, Nicholas"
507,Actividades para un joven naturalista,"Graham, V. E."
508,Don Camilo,"Guareschi, Giovanni"
509,La ruta sangrienta,"Hassel, Sven"
510,The Rawhider,"Heckelmann, Charles N."
511,Entre dos patrias,"D'Izieu, Jean; Sabathier, Michel"
512,Querido Tim,"Kurtz, Carmen"
513,Llovida del cielo,"Kyne, Peter B."
514,Papá pisa las tablas,"Louki, Pierre"
515,Doble imagen,"MacInnes, Helen"
516,La camisa del revés,"Martin, Andreu"
517,Miguelón,"Moix, Ana María"
518,Don Juan. Tartufo,Molière
519,Del ático al entresuelo,"Padilla, Pedro Pablo"
520,El presidente,"Pearson, Drew"
521,Las enfermedades del amor,"Pinillos, Isabel; Herrero, Miguel Gª"
522,"Mujeres de blanco. Proyecto Hermes. Jezabel, el precio del pecado","Slaughter, Frank G."
523,La flecha negra,"Stevenson, Robert Louis"
524,Rafael de Trabazos,"Suárez, Rosa Mª"
525,El castillo de Noé,"Townsend, John R."
526,Topaz,"Uris, Leon"
